LR,256,512,1024,2048
-11,2.17,2,1.9,1.78
-10,1.9,1.7,1.55,1.43
-9,1.68,1.57,1.46,1.32
-8,1.47,1.28,1.01,0.4
-7,1.32,1.02,0.58,0.03
-6,0.78,0.12,0.02,0.2
-5,0.46,0.22,0.04,0.3
-4,1.1,0.81,0.92,1.52
-3,1.53,1.59,1.81,2.3
-2,2.3,2.3,2.3,2.3
