"Step","Loss"
"0","2.328286647796631"
"1","1.9996771812438965"
"2","1.7495670318603516"
"3","1.6846580505371094"
"4","1.5013017654418945"
"5","1.7248834371566772"
"6","1.598166823387146"
"7","1.5543009042739868"
"8","1.5453159809112549"
"9","1.6385338306427002"
"10","1.5676383972167969"
"11","1.648881196975708"
"12","1.5582592487335205"
"13","1.3982107639312744"
"14","1.5698931217193604"
"15","1.4438185691833496"
"16","1.546895146369934"
"17","1.5610976219177246"
"18","1.4850819110870361"
"19","1.4715492725372314"
"20","1.5124315023422241"
"21","1.0961753129959106"
"22","1.3370490074157715"
"23","1.518235683441162"
"24","1.3816620111465454"
"25","1.5343190431594849"
"26","1.6242456436157227"
"27","1.3956298828125"
"28","1.5575757026672363"
"29","1.3229633569717407"
"30","1.1839083433151245"
"31","1.351623773574829"
"32","1.3481847047805786"
"33","1.391158103942871"
"34","1.3922477960586548"
"35","1.391019344329834"
"36","1.335660696029663"
"37","1.4900556802749634"
"38","1.3704578876495361"
"39","1.2875754833221436"
"40","1.2743992805480957"
"41","1.2759604454040527"
"42","1.2615623474121094"
"43","1.3976068496704102"
"44","1.307294487953186"
"45","1.257307767868042"
"46","1.3980927467346191"
"47","1.2372455596923828"
"48","1.2551137208938599"
"49","1.2942103147506714"
"50","1.4104597568511963"
"51","1.2697746753692627"
"52","1.2391716241836548"
"53","1.3579723834991455"
"54","1.3120458126068115"
"55","1.3901467323303223"
"56","1.1805408000946045"
"57","1.2420960664749146"
"58","1.3184760808944702"
"59","1.147209882736206"
"60","1.1525905132293701"
"61","1.2453657388687134"
"62","0.9449335336685181"
"63","1.0867159366607666"
"64","1.1325982809066772"
"65","1.1081279516220093"
"66","1.3800733089447021"
"67","1.387102723121643"
"68","1.0927510261535645"
"69","1.359528660774231"
"70","1.1754114627838135"
"71","1.0312690734863281"
"72","1.3012211322784424"
"73","1.2667644023895264"
"74","1.1255000829696655"
"75","1.1700602769851685"
"76","1.046952724456787"
"77","1.1502344608306885"
"78","1.056053638458252"
"79","0.9602707624435425"
"80","1.174896001815796"
"81","1.0710339546203613"
"82","1.1099728345870972"
"83","1.0185023546218872"
"84","1.050223469734192"
"85","1.1872036457061768"
"86","1.2343143224716187"
"87","0.9624637365341187"
"88","1.1818125247955322"
"89","1.0565840005874634"
"90","1.1266343593597412"
"91","1.1027846336364746"
"92","1.0024670362472534"
"93","1.1208877563476562"
"94","1.066580891609192"
"95","1.1502856016159058"
"96","1.2190898656845093"
"97","1.190225601196289"
"98","1.1094619035720825"
"99","1.118384599685669"
"100","0.8232912421226501"
