"Step","Loss"
"0","2.332526206970215"
"1","1.7691917419433594"
"2","1.730620265007019"
"3","1.5409153699874878"
"4","1.6054809093475342"
"5","1.4393656253814697"
"6","1.3696649074554443"
"7","1.1712169647216797"
"8","1.3046449422836304"
"9","1.2894092798233032"
"10","1.2298367023468018"
"11","1.148430347442627"
"12","0.9389219880104065"
"13","1.081408143043518"
"14","1.2393414974212646"
"15","0.9814339280128479"
"16","1.0088551044464111"
"17","0.8958637118339539"
"18","0.8478487730026245"
"19","0.8894498348236084"
"20","1.0054049491882324"
"21","0.8161172866821289"
"22","0.9861184358596802"
"23","0.7171417474746704"
"24","0.6829202175140381"
"25","0.780998945236206"
"26","0.7016507387161255"
"27","0.7762949466705322"
"28","0.8085337281227112"
"29","0.58742755651474"
"30","0.6902305483818054"
"31","0.721437931060791"
"32","0.802935779094696"
"33","0.7048876285552979"
"34","0.5547659397125244"
"35","0.6224790811538696"
"36","0.5638225078582764"
"37","0.6371964812278748"
"38","0.5025107860565186"
"39","0.41517555713653564"
"40","0.5331544876098633"
"41","0.4631611704826355"
"42","0.542433500289917"
"43","0.48642274737358093"
"44","0.41810280084609985"
"45","0.3870633840560913"
"46","0.5180364847183228"
"47","0.3956119418144226"
"48","0.45474329590797424"
"49","0.32662034034729004"
"50","0.39187800884246826"
"51","0.48501771688461304"
"52","0.48306983709335327"
"53","0.35579755902290344"
"54","0.33172422647476196"
"55","0.2518623173236847"
"56","0.30866652727127075"
"57","0.32559406757354736"
"58","0.5047509074211121"
"59","0.2679585814476013"
"60","0.2946791350841522"
"61","0.26412975788116455"
"62","0.3278651237487793"
"63","0.21456284821033478"
"64","0.3260335624217987"
"65","0.3363676071166992"
"66","0.2388177216053009"
"67","0.2389357089996338"
"68","0.37111377716064453"
"69","0.2503790855407715"
"70","0.2747572064399719"
"71","0.29629576206207275"
"72","0.1887216567993164"
"73","0.2547023892402649"
"74","0.2448391318321228"
"75","0.17722460627555847"
"76","0.21151019632816315"
"77","0.23006358742713928"
"78","0.17752555012702942"
"79","0.20905934274196625"
"80","0.1806047558784485"
"81","0.23070521652698517"
"82","0.1645096391439438"
"83","0.16743886470794678"
"84","0.16096949577331543"
"85","0.23104089498519897"
"86","0.1781689077615738"
"87","0.16215780377388"
"88","0.18043866753578186"
"89","0.13738077878952026"
"90","0.13511240482330322"
"91","0.16691407561302185"
"92","0.13540992140769958"
"93","0.1552223265171051"
"94","0.13162055611610413"
"95","0.1621229350566864"
"96","0.10813336819410324"
"97","0.07438021898269653"
"98","0.10603085160255432"
"99","0.1679215133190155"
"100","0.15925812721252441"
