LR,256,512,1024,2048
-11,0.707,0.47,0.16,0.09
-10,0.219,0.056,0.008,0.003
-9,0.144,0.044,0.013,0.004
-8,0.33,0.22,0.156,0.14
-7,0.77,0.66,0.666,0.6
-6,1.36,1.31,1.29,1.31
-5,1.76,1.93,1.9,2.1
-4,2.15,2.47,2.7,3.5
-3,2.65,3.2,4.47,5.68
-2,4.56,6.9,6.96,9.08
